"Fragment","Scaffold.ID","Gene.Start","Gene.End","bp.Start","bp.End","Fragment.Length"
"2506535018_Aquba_Contig381-gene_4305-gene_4334",2506535018,4305,4334,5294383,5330093,35710
"2506535018_Aquba_Contig381-gene_2596-gene_2688",2506535018,2596,2688,3153720,3263775,110055
"2508501807_SacmaDRAFT_SMG_1-gene_13-gene_105",2508501807,13,105,15093,98516,83423
"2508501807_SacmaDRAFT_SMG_1-gene_5225-gene_5315",2508501807,5225,5315,5423726,5508304,84578
"2508501807_SacmaDRAFT_SMG_1-gene_4114-gene_4201",2508501807,4114,4201,4276285,4357716,81431
"2718228132_Ga0175156_11-gene_4007-gene_4032",2718228132,4007,4032,4352449,4372994,20545
"2506485008_Contig317-gene_2764-gene_2782",2506485008,2764,2782,3233670,3246034,12364
"2506485008_Contig317-gene_4705-gene_4893",2506485008,4705,4893,5443873,5698227,254354
"643692025_NC_012108-gene_1861-gene_1913",643692025,1861,1913,2163671,2214118,50447
"643692025_NC_012108-gene_4277-gene_4332",643692025,4277,4332,4977214,5033916,56702
"2562628756_CP007203-gene_1941-gene_1987",2562628756,1941,1987,2212462,2247794,35332
"643348578_NC_011566-gene_2857-gene_2879",643348578,2857,2879,3378505,3397747,19242
"637000158_NC_003910-gene_774-gene_798",637000158,774,798,887208,903063,15855
"637000158_NC_003910-gene_303-gene_340",637000158,303,340,350248,386593,36345
"651053104_CP002811-gene_183-gene_227",651053104,183,227,212067,254198,42131
"2512564983_OA238_c-gene_4348-gene_4433",2512564983,4348,4433,4048829,4116476,67647
"2524037964_FO203503-gene_3169-gene_3261",2524037964,3169,3261,3567366,3644024,76658
"2728434717_Ga0175483_11-gene_825-gene_914",2728434717,825,914,816091,870732,54641
"2728434717_Ga0175483_11-gene_4310-gene_4351",2728434717,4310,4351,4389037,4425797,36760
"646564612_NC_014041-gene_2018-gene_2041",646564612,2018,2041,2324446,2342794,18348
"646564612_NC_014041-gene_3681-gene_3766",646564612,3681,3766,4256332,4324707,68375
"646564612_NC_014041-gene_3035-gene_3124",646564612,3035,3124,3542923,3622144,79221
"646564612_NC_014041-gene_1172-gene_1265",646564612,1172,1265,1365365,1457088,91723
"646564612_NC_014041-gene_2481-gene_2503",646564612,2481,2503,2867548,2879201,11653
"637000514_NC_007912-gene_1863-gene_1895",637000514,1863,1895,2300286,2326857,26571
"637000514_NC_007912-gene_3099-gene_3115",637000514,3099,3115,3836046,3846111,10065
"637000514_NC_007912-gene_2363-gene_2423",637000514,2363,2423,2926621,2977451,50830
"637000514_NC_007912-gene_434-gene_492",637000514,434,492,518134,568078,49944
"2504762402_Contig38-gene_2938-gene_2958",2504762402,2938,2958,3281385,3294342,12957
"2504762402_Contig38-gene_1644-gene_1740",2504762402,1644,1740,1852324,1946237,93913
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_3380-gene_3408",2513256208,3380,3408,4004210,4026923,22713
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_2454-gene_2545",2513256208,2454,2545,2868388,2976331,107943
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_725-gene_777",2513256208,725,777,894485,949248,54763
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1922-gene_1992",2513256208,1922,1992,2230294,2285331,55037
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1839-gene_1896",2513256208,1839,1896,2125681,2190492,64811
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_2288-gene_2356",2513256208,2288,2356,2662208,2736198,73990
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1353-gene_1442",2513256208,1353,1442,1596454,1680431,83977
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_3978-gene_4033",2513256208,3978,4033,4695011,4750386,55375
"2718228709_Ga0175363_11-gene_1456-gene_1505",2718228709,1456,1505,1880414,1934299,53885
"2561539978_Calab_Cab_131026_1-gene_1456-gene_1505",2561539978,1456,1505,1880414,1934299,53885
"2643222989_Cab_131026-gene_3707-gene_3756",2643222989,3707,3756,4835300,4889185,53885
"2504404809_AMB_SN2-gene_1202-gene_1245",2504404809,1202,1245,1419056,1449472,30416
"2504404809_AMB_SN2-gene_3425-gene_3481",2504404809,3425,3481,3959204,4000086,40882
"2504404809_AMB_SN2-gene_2113-gene_2134",2504404809,2113,2134,2440803,2457795,16992
"2521194451_CP003466-gene_2064-gene_2140",2521194451,2064,2140,2267143,2344440,77297
"2554309016_CP006643-gene_4315-gene_4342",2554309016,4315,4342,4319696,4349081,29385
"2526166614_K365DRAFT_scaffold00001_1-gene_2939-gene_3028",2526166614,2939,3028,3144735,3211291,66556
"2526166614_K365DRAFT_scaffold00001_1-gene_2054-gene_2120",2526166614,2054,2120,2182760,2237229,54469
"2526166614_K365DRAFT_scaffold00001_1-gene_70-gene_137",2526166614,70,137,75641,124136,48495
"2526166614_K365DRAFT_scaffold00001_1-gene_1819-gene_1840",2526166614,1819,1840,1908163,1923456,15293
"637000611_NC_008322-gene_1040-gene_1074",637000611,1040,1074,1173198,1208295,35097
"639633068_NC_008576-gene_2295-gene_2394",639633068,2295,2394,2788052,2908490,120438
"650716032_NC_015275-gene_3744-gene_3816",650716032,3744,3816,4059134,4134696,75562
"650716032_NC_015275-gene_1500-gene_1529",650716032,1500,1529,1668325,1688261,19936
"2596658995_LX98DRAFT_unitig_0_quiver_1-gene_1357-gene_1455",2596658995,1357,1455,1600434,1709881,109447
"2596658995_LX98DRAFT_unitig_0_quiver_1-gene_923-gene_1015",2596658995,923,1015,1076589,1190087,113498
"2684693078_Ga0125241_11-gene_2209-gene_2245",2684693078,2209,2245,2643101,2667259,24158
"2718228273_Ga0174870_11-gene_1093-gene_1155",2718228273,1093,1155,1240194,1315681,75487
"2718228273_Ga0174870_11-gene_2263-gene_2345",2718228273,2263,2345,2653856,2732450,78594
"639633099_NC_008711-gene_3189-gene_3244",639633099,3189,3244,3459694,3520334,60640
"639633098_NC_008709-gene_2610-gene_2648",639633098,2610,2648,3123636,3169177,45541
"2524031327_Shewanella-gene_142-gene_160",2524031327,142,160,150457,169260,18803
"2517487235_scaffold00006-gene_2798-gene_2848",2517487235,2798,2848,2825633,2870622,44989
"2517487235_scaffold00006-gene_2686-gene_2731",2517487235,2686,2731,2714027,2761266,47239
"649633075_NC_014759-gene_3428-gene_3459",649633075,3428,3459,4114967,4150955,35988
"649633075_NC_014759-gene_1905-gene_1964",649633075,1905,1964,2330185,2392416,62231
"2521194441_CP003845-gene_2019-gene_2052",2521194441,2019,2052,2399118,2422966,23848
"637000589_NC_008255-gene_2191-gene_2290",637000589,2191,2290,2656102,2751587,95485
"637000589_NC_008255-gene_477-gene_539",637000589,477,539,578980,654530,75550
"637000589_NC_008255-gene_2821-gene_2849",637000589,2821,2849,3365689,3400262,34573
"650377919_CP001978-gene_3109-gene_3128",650377919,3109,3128,3247572,3262409,14837
"650377919_CP001978-gene_69-gene_168",650377919,69,168,77394,163909,86515
"642555224_NC_011138-gene_3586-gene_3618",642555224,3586,3618,4042153,4065027,22874
"2597512639_Ga0036914_gi564132530_1-gene_1826-gene_1849",2597512639,1826,1849,1967982,1989439,21457
"2597512639_Ga0036914_gi564132530_1-gene_3202-gene_3264",2597512639,3202,3264,3458987,3519090,60103
"2597512639_Ga0036914_gi564132530_1-gene_3097-gene_3192",2597512639,3097,3192,3356791,3445787,88996
"2721801484_Ga0175998_12-gene_465-gene_503",2721801484,465,503,549093,572064,22971
"2721801484_Ga0175998_12-gene_2983-gene_3022",2721801484,2983,3022,3567570,3606413,38843
"2512571803_NC_016940-gene_493-gene_534",2512571803,493,534,647889,697810,49921
"2512571803_NC_016940-gene_2600-gene_2706",2512571803,2600,2706,3333163,3468740,135577
"2512571803_NC_016940-gene_3144-gene_3226",2512571803,3144,3226,4010366,4123157,112791
"2512571803_NC_016940-gene_112-gene_205",2512571803,112,205,135529,267910,132381
"2512571803_NC_016940-gene_270-gene_366",2512571803,270,366,350324,502287,151963
"2512571803_NC_016940-gene_3304-gene_3403",2512571803,3304,3403,4233049,4340705,107656
"2512571803_NC_016940-gene_2711-gene_2913",2512571803,2711,2913,3474918,3717888,242970
"2721800935_Ga0175699_12-gene_4069-gene_4106",2721800935,4069,4106,4182293,4208946,26653
"2721800935_Ga0175699_12-gene_1265-gene_1339",2721800935,1265,1339,1329404,1389445,60041
"2721800935_Ga0175699_12-gene_3788-gene_3885",2721800935,3788,3885,3888197,3986037,97840
"2519117607_CP003746-gene_2821-gene_2874",2519117607,2821,2874,3043185,3079999,36814
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_4099-gene_4114",2521191523,4099,4114,4207554,4215395,7841
"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2349-gene_2393",2521191523,2349,2393,2442235,2474606,32371
"2687454401_Ga0133388_11-gene_3422-gene_3469",2687454401,3422,3469,3588492,3653324,64832
"2687454401_Ga0133388_11-gene_397-gene_493",2687454401,397,493,408818,495851,87033
"2667542047_Ga0105927_11-gene_3426-gene_3470",2667542047,3426,3470,3595323,3658705,63382
"2667542047_Ga0105927_11-gene_397-gene_496",2667542047,397,496,408817,498133,89316
"2622780072_scf7180000000004-gene_1460-gene_1474",2622780072,1460,1474,1722181,1727364,5183
"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1-gene_1705-gene_1719",2558913391,1705,1719,1998637,2008375,9738
"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1-gene_3514-gene_3571",2558913391,3514,3571,4077182,4106062,28880
"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1-gene_211-gene_301",2558913391,211,301,236523,342458,105935
"2718228355_Ga0175168_11-gene_1545-gene_1628",2718228355,1545,1628,1786061,1859443,73382
"2506842939_Thimo_Contig50-gene_2222-gene_2287",2506842939,2222,2287,2495885,2560905,65020
"2506842939_Thimo_Contig50-gene_758-gene_820",2506842939,758,820,841051,904595,63544
"2512205695_CP002987-gene_1133-gene_1210",2512205695,1133,1210,1271969,1343155,71186
"2508526980_Oweho_Contig158_1-gene_3095-gene_3160",2508526980,3095,3160,3568382,3630543,62161
"2558913389_P161DRAFT_scf7180000000002_quiver_dupTrim_7254_1-gene_1327-gene_1403",2558913389,1327,1403,1521192,1603538,82346
"2558913389_P161DRAFT_scf7180000000002_quiver_dupTrim_7254_1-gene_2929-gene_2945",2558913389,2929,2945,3398063,3408189,10126
"2558913389_P161DRAFT_scf7180000000002_quiver_dupTrim_7254_1-gene_719-gene_769",2558913389,719,769,846805,897547,50742
"2540348206_FO203363-gene_1760-gene_1807",2540348206,1760,1807,1925568,1973366,47798
"2540348206_FO203363-gene_476-gene_491",2540348206,476,491,534629,544335,9706
"2667542034_Ga0114080_11-gene_3001-gene_3089",2667542034,3001,3089,2559212,2637072,77860
"647533596_NZ_DS995276-gene_101-gene_177",647533596,101,177,89662,148538,58876
"2721801272_Ga0176028_11-gene_545-gene_627",2721801272,545,627,622299,702120,79821
"2721801272_Ga0176028_11-gene_1468-gene_1515",2721801272,1468,1515,1744424,1799780,55356
"2721801272_Ga0176028_11-gene_2388-gene_2442",2721801272,2388,2442,2812818,2863988,51170
"2721801272_Ga0176028_11-gene_2659-gene_2729",2721801272,2659,2729,3102370,3165915,63545
"2509292657_JoomaDRAFT_JMA_2-gene_188-gene_250",2509292657,188,250,207633,267388,59755
"2511244427_NC_016078-gene_2577-gene_2641",2511244427,2577,2641,2647488,2705674,58186
"2540348160_CP001397-gene_2236-gene_2319",2540348160,2236,2319,2565003,2657973,92970
"2540348160_CP001397-gene_783-gene_806",2540348160,783,806,869910,890666,20756
"2540348160_CP001397-gene_2886-gene_3002",2540348160,2886,3002,3307119,3434800,127681
"2540348160_CP001397-gene_2556-gene_2669",2540348160,2556,2669,2941719,3067077,125358
"2540348160_CP001397-gene_208-gene_273",2540348160,208,273,269200,338223,69023
"2540348160_CP001397-gene_592-gene_685",2540348160,592,685,678526,760688,82162
"650716068_NC_015458-gene_209-gene_304",650716068,209,304,243624,372854,129230
"2503755728_Ddes_Contig54-gene_2498-gene_2537",2503755728,2498,2537,2718908,2774854,55946
"641522729_NC_010674-gene_1541-gene_1594",641522729,1541,1594,1662386,1715425,53039
"639633066_NC_008571-gene_2377-gene_2446",639633066,2377,2446,2682923,2758772,75849
"639633066_NC_008571-gene_797-gene_845",639633066,797,845,947451,993402,45951
"2556981731_CP006939-gene_612-gene_659",2556981731,612,659,693062,736116,43054
"2556981731_CP006939-gene_2915-gene_3011",2556981731,2915,3011,3313349,3430421,117072
"2690318780_Ga0045920_11-gene_1547-gene_1599",2690318780,1547,1599,1663315,1716101,52786
"2667536837_Ga0104699_11-gene_7-gene_79",2667536837,7,79,6118,89812,83694
"2667536837_Ga0104699_11-gene_1934-gene_1962",2667536837,1934,1962,2084320,2114365,30045
"646564593_NC_014008-gene_266-gene_307",646564593,266,307,357993,383617,25624
"646564593_NC_014008-gene_1988-gene_2006",646564593,1988,2006,2472434,2528606,56172
"646564593_NC_014008-gene_540-gene_562",646564593,540,562,723636,738849,15213
"646564593_NC_014008-gene_3018-gene_3039",646564593,3018,3039,3694872,3709458,14586
"2540348203_FO203427-gene_1208-gene_1305",2540348203,1208,1305,1332685,1409566,76881
"647533454_NZ_DS989898-gene_1565-gene_1654",647533454,1565,1654,1607913,1703106,95193
"647533454_NZ_DS989898-gene_3061-gene_3126",647533454,3061,3126,3144119,3191163,47044
"2596648949_LY87DRAFT_unitig_0_quiver_1-gene_3027-gene_3090",2596648949,3027,3090,3425272,3497000,71728
"2596648949_LY87DRAFT_unitig_0_quiver_1-gene_1984-gene_2095",2596648949,1984,2095,2235835,2351633,115798
"2511051433_CP002901-gene_385-gene_538",2511051433,385,538,395264,537992,142728
"2511051433_CP002901-gene_2995-gene_3110",2511051433,2995,3110,2887013,2970878,83865
"2511051433_CP002901-gene_2025-gene_2117",2511051433,2025,2117,1986387,2061217,74830
"2511051433_CP002901-gene_2545-gene_2686",2511051433,2545,2686,2464892,2573542,108650
"646311903_NC_013222-gene_2004-gene_2051",646311903,2004,2051,2313157,2350122,36965
"646311903_NC_013222-gene_201-gene_233",646311903,201,233,250985,281140,30155
"2724812732_K10K4_chromosome1-gene_1339-gene_1363",2724812732,1339,1363,1481535,1498667,17132
"2724812732_K10K4_chromosome1-gene_1758-gene_1857",2724812732,1758,1857,1951163,2063015,111852
"637000420_NC_007484-gene_386-gene_472",637000420,386,472,423923,489818,65895
"2724812413_K04M3_chromosome1-gene_1373-gene_1397",2724812413,1373,1397,1508151,1525283,17132
"2724812413_K04M3_chromosome1-gene_1784-gene_1883",2724812413,1784,1883,1970202,2082054,111852
"2724812419_K05K4_chromosome1-gene_1361-gene_1385",2724812419,1361,1385,1497978,1515110,17132
"2724812419_K05K4_chromosome1-gene_1785-gene_1884",2724812419,1785,1884,1967607,2079458,111851
"2724812408_K04M1_chromosome1-gene_1370-gene_1394",2724812408,1370,1394,1503811,1520943,17132
"2724812408_K04M1_chromosome1-gene_1777-gene_1877",2724812408,1777,1877,1965862,2077714,111852
"2724812723_K06K5_chromosome1-gene_1371-gene_1395",2724812723,1371,1395,1503287,1520419,17132
"2724812723_K06K5_chromosome1-gene_1777-gene_1876",2724812723,1777,1876,1965338,2077190,111852
"2724812416_K04M5_chromosome1-gene_1765-gene_1865",2724812416,1765,1865,1963657,2075509,111852
"2724812416_K04M5_chromosome1-gene_1337-gene_1361",2724812416,1337,1361,1481536,1498668,17132
"2724812406_K01M1_chromosome1-gene_1769-gene_1868",2724812406,1769,1868,1962332,2074184,111852
"2724812406_K01M1_chromosome1-gene_1363-gene_1387",2724812406,1363,1387,1500281,1517413,17132
"2724812734_K08M3_chromosome1-gene_1360-gene_1384",2724812734,1360,1384,1498822,1515954,17132
"2724812734_K08M3_chromosome1-gene_1770-gene_1870",2724812734,1770,1870,1960873,2072725,111852
"2724812731_K09K1_contig000002-gene_192-gene_216",2724812731,192,216,214660,231792,17132
"2724812731_K09K1_contig000002-gene_2779-gene_2877",2724812731,2779,2877,3110919,3219335,108416
"2718228555_Ga0175862_11-gene_817-gene_837",2718228555,817,837,810165,828036,17871
"650716118_NC_015638-gene_2872-gene_2918",650716118,2872,2918,3187557,3228555,40998
"2549075848_RCA23c-gene_1269-gene_1366",2549075848,1269,1366,1323803,1426939,103136
"2504643033_SYNPCC8807DRAFT_8807_chromosome-gene_80-gene_98",2504643033,80,98,94011,104165,10154
"2504643047_SYNPCC73109DRAFT_73109_chromosome-gene_1788-gene_1815",2504643047,1788,1815,2000010,2028458,28448
"2504643047_SYNPCC73109DRAFT_73109_chromosome-gene_1921-gene_1942",2504643047,1921,1942,2155308,2167710,12402
"646311952_NC_013456-gene_1539-gene_1644",646311952,1539,1644,1746774,1849178,102404
"2718228224_Ga0176053_11-gene_1461-gene_1516",2718228224,1461,1516,1451904,1497385,45481
"2718228346_Ga0175161_11-gene_1608-gene_1701",2718228346,1608,1701,1845504,1923206,77702
"2721801511_Ga0175657_12-gene_2685-gene_2714",2721801511,2685,2714,2702606,2726565,23959
"2663809665_Ga0114161_11-gene_1830-gene_1843",2663809665,1830,1843,2068306,2079871,11565
"2663809665_Ga0114161_11-gene_533-gene_627",2663809665,533,627,606913,709125,102212
"2526170607_CA2559_HTCC2559_1-gene_53-gene_93",2526170607,53,93,85933,123820,37887
"648028061_NC_014414-gene_2294-gene_2320",648028061,2294,2320,2476066,2504856,28790
"648028061_NC_014414-gene_1047-gene_1130",648028061,1047,1130,1104336,1199278,94942
"2622780069_CP011373-gene_873-gene_915",2622780069,873,915,939171,981858,42687
"2622780069_CP011373-gene_56-gene_93",2622780069,56,93,47110,78742,31632
"647535429_NZ_GG704599-gene_222-gene_240",647535429,222,240,222002,243554,21552
"647533516_NZ_DS990556-gene_2410-gene_2507",647533516,2410,2507,2403035,2503079,100044
"2507267694_KS100_Contig_1-gene_1550-gene_1564",2507267694,1550,1564,1551271,1560320,9049
"2507267694_KS100_Contig_1-gene_1083-gene_1181",2507267694,1083,1181,1070014,1156405,86391
"2507267694_KS100_Contig_1-gene_1733-gene_1831",2507267694,1733,1831,1708012,1777854,69842
"2507267694_KS100_Contig_1-gene_2360-gene_2459",2507267694,2360,2459,2275983,2360575,84592
"2507267694_KS100_Contig_1-gene_1651-gene_1717",2507267694,1651,1717,1642710,1698526,55816
"2507267694_KS100_Contig_1-gene_627-gene_665",2507267694,627,665,653723,686458,32735
"646564595_NC_014010-gene_1727-gene_1753",646564595,1727,1753,1853620,1880413,26793
"2513265731_NZ_AGIF02000001-gene_1886-gene_1902",2513265731,1886,1902,2087139,2097722,10583
"2507281848_Syn8016_Contig50_1-gene_297-gene_400",2507281848,297,400,248809,335127,86318
"2507281848_Syn8016_Contig50_1-gene_1207-gene_1278",2507281848,1207,1278,1136273,1192649,56376
"2507281848_Syn8016_Contig50_1-gene_33-gene_80",2507281848,33,80,30082,61332,31250
"2507281848_Syn8016_Contig50_1-gene_494-gene_593",2507281848,494,593,422160,523844,101684
"2507281848_Syn8016_Contig50_1-gene_2667-gene_2690",2507281848,2667,2690,2586837,2600341,13504
"2507281848_Syn8016_Contig50_1-gene_125-gene_224",2507281848,125,224,108021,183191,75170
"2507281848_Syn8016_Contig50_1-gene_2305-gene_2399",2507281848,2305,2399,2239804,2334181,94377
"640069312_NC_008820-gene_1641-gene_1710",640069312,1641,1710,1786097,1864949,78852
"640069312_NC_008820-gene_244-gene_322",640069312,244,322,284900,378422,93522
"640069312_NC_008820-gene_936-gene_1035",640069312,936,1035,1013875,1109970,96095
"640069312_NC_008820-gene_847-gene_912",640069312,847,912,918930,986846,67916
"2509602057_Halha_Contig26_1-gene_1232-gene_1253",2509602057,1232,1253,1274933,1288280,13347
"2509602057_Halha_Contig26_1-gene_1873-gene_1921",2509602057,1873,1921,1953601,1984022,30421
"650716048_NC_015391-gene_65-gene_163",650716048,65,163,71999,152397,80398
"650716048_NC_015391-gene_866-gene_897",650716048,866,897,914974,934565,19591
"637000608_NC_008319-gene_2126-gene_2162",637000608,2126,2162,2112266,2144903,32637
"637000608_NC_008319-gene_1551-gene_1652",637000608,1551,1652,1573811,1656493,82682
"637000608_NC_008319-gene_957-gene_1015",637000608,957,1015,966208,1024539,58331
"637000608_NC_008319-gene_2428-gene_2526",637000608,2428,2526,2417975,2517479,99504
"637000608_NC_008319-gene_558-gene_657",637000608,558,657,578864,668318,89454
"637000608_NC_008319-gene_716-gene_809",637000608,716,809,729363,808899,79536
"2517287732_B044DRAFT_scaffold1_1-gene_77-gene_121",2517287732,77,121,78702,110555,31853
"2507267692_KS49_KORDI_49_1-gene_1041-gene_1136",2507267692,1041,1136,1092817,1166620,73803
"2507267692_KS49_KORDI_49_1-gene_789-gene_843",2507267692,789,843,822472,858847,36375
"2507267692_KS49_KORDI_49_1-gene_1148-gene_1217",2507267692,1148,1217,1174997,1221733,46736
"2507267692_KS49_KORDI_49_1-gene_1739-gene_1755",2507267692,1739,1755,1736079,1747397,11318
"2507267692_KS49_KORDI_49_1-gene_2109-gene_2199",2507267692,2109,2199,2113072,2197794,84722
"2576887216_P163DRAFT_scf7180000000039_quiver_5-gene_969-gene_1028",2576887216,969,1028,1095440,1152405,56965
"2576887216_P163DRAFT_scf7180000000039_quiver_5-gene_2212-gene_2298",2576887216,2212,2298,2444487,2546222,101735
"2507267693_KS52_KORDI_52_1-gene_513-gene_541",2507267693,513,541,506126,526034,19908
"2507267693_KS52_KORDI_52_1-gene_1479-gene_1578",2507267693,1479,1578,1402028,1465532,63504
"2507267693_KS52_KORDI_52_1-gene_2069-gene_2111",2507267693,2069,2111,1935128,1973421,38293
"2507267693_KS52_KORDI_52_1-gene_1703-gene_1747",2507267693,1703,1747,1578653,1613693,35040
"2507267693_KS52_KORDI_52_1-gene_986-gene_1073",2507267693,986,1073,944688,1025271,80583
"2507267693_KS52_KORDI_52_1-gene_1245-gene_1272",2507267693,1245,1272,1188696,1209309,20613
"2507267693_KS52_KORDI_52_1-gene_1871-gene_1934",2507267693,1871,1934,1737091,1793207,56116
"2507267693_KS52_KORDI_52_1-gene_763-gene_810",2507267693,763,810,720704,778258,57554
"640753031_NC_009663-gene_717-gene_808",640753031,717,808,721446,799971,78525
"640753031_NC_009663-gene_2078-gene_2108",640753031,2078,2108,2086610,2113648,27038
"2509292655_ThesiDRAFT_TSF_1-gene_932-gene_1033",2509292655,932,1033,878124,968801,90677
"2718228072_Ga0174827_11-gene_1264-gene_1293",2718228072,1264,1293,1337568,1351588,14020
"637000441_NC_007516-gene_2596-gene_2707",637000441,2596,2707,2284116,2395236,111120
"637000441_NC_007516-gene_969-gene_1002",637000441,969,1002,896600,920504,23904
"637000441_NC_007516-gene_1546-gene_1648",637000441,1546,1648,1389679,1452292,62613
"637000441_NC_007516-gene_1283-gene_1297",637000441,1283,1297,1152783,1159946,7163
"637000441_NC_007516-gene_1872-gene_1892",637000441,1872,1892,1623201,1638284,15083
"637000441_NC_007516-gene_1720-gene_1755",637000441,1720,1755,1522910,1544433,21523
"637000441_NC_007516-gene_1086-gene_1155",637000441,1086,1155,992705,1036199,43494
"637000441_NC_007516-gene_1976-gene_2039",637000441,1976,2039,1708133,1756052,47919
"638366418_NZ_AANA01000001-gene_1438-gene_1454",638366418,1438,1454,1643207,1659911,16704
