"Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length.bp","GC.Content"
640972740,"Beggiatoa sp. PS contig00311: NZ_ABBZ01002943",640963011,"Beggiatoa sp. PS",0,713,0.38
640972741,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002944",640963011,"Beggiatoa sp. PS",1,712,0.37
640972742,"Beggiatoa sp. PS contig21027: NZ_ABBZ01002945",640963011,"Beggiatoa sp. PS",0,712,0.43
640972743,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002946",640963011,"Beggiatoa sp. PS",2,712,0.38
640972744,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002947",640963011,"Beggiatoa sp. PS",1,712,0.37
640972745,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002948",640963011,"Beggiatoa sp. PS",3,711,0.4
640972746,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002949",640963011,"Beggiatoa sp. PS",1,711,0.45
640972747,"Beggiatoa sp. PS contig01023: NZ_ABBZ01002950",640963011,"Beggiatoa sp. PS",0,711,0.45
640972748,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002951",640963011,"Beggiatoa sp. PS",1,710,0.39
640972749,"Beggiatoa sp. PS contig23757: NZ_ABBZ01002952",640963011,"Beggiatoa sp. PS",0,710,0.39
640972750,"Beggiatoa sp. PS contig00119: NZ_ABBZ01002953",640963011,"Beggiatoa sp. PS",0,710,0.27
640972751,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002954",640963011,"Beggiatoa sp. PS",1,709,0.4
640972752,"Beggiatoa sp. PS contig26116: NZ_ABBZ01002955",640963011,"Beggiatoa sp. PS",0,708,0.34
640972753,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002956",640963011,"Beggiatoa sp. PS",1,707,0.39
640972754,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002957",640963011,"Beggiatoa sp. PS",2,707,0.37
640972755,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002958",640963011,"Beggiatoa sp. PS",1,707,0.38
640972756,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002959",640963011,"Beggiatoa sp. PS",1,707,0.39
640972757,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002960",640963011,"Beggiatoa sp. PS",2,707,0.41
640972758,"Beggiatoa sp. PS contig25872: NZ_ABBZ01002961",640963011,"Beggiatoa sp. PS",0,706,0.29
640972759,"Beggiatoa sp. PS contig23583: NZ_ABBZ01002962",640963011,"Beggiatoa sp. PS",0,706,0.35
640972760,"Beggiatoa sp. PS contig22013: NZ_ABBZ01002963",640963011,"Beggiatoa sp. PS",0,706,0.35
640972761,"Beggiatoa sp. PS contig00727: NZ_ABBZ01002964",640963011,"Beggiatoa sp. PS",0,706,0.31
640972762,"Beggiatoa sp. PS contig25422: NZ_ABBZ01002965",640963011,"Beggiatoa sp. PS",0,705,0.36
640972763,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002966",640963011,"Beggiatoa sp. PS",2,705,0.4
640972764,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002967",640963011,"Beggiatoa sp. PS",1,705,0.37
640972765,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002968",640963011,"Beggiatoa sp. PS",1,704,0.35
640972766,"Beggiatoa sp. PS contig21597: NZ_ABBZ01002969",640963011,"Beggiatoa sp. PS",0,704,0.41
640972767,"Beggiatoa sp. PS contig20742: NZ_ABBZ01002970",640963011,"Beggiatoa sp. PS",0,704,0.29
640972768,"Beggiatoa sp. PS contig16022: NZ_ABBZ01002971",640963011,"Beggiatoa sp. PS",0,704,0.29
640972769,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002972",640963011,"Beggiatoa sp. PS",1,703,0.45
640972770,"Beggiatoa sp. PS contig00268: NZ_ABBZ01002973",640963011,"Beggiatoa sp. PS",0,703,0.45
640972771,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002974",640963011,"Beggiatoa sp. PS",1,702,0.37
640972772,"Beggiatoa sp. PS contig24927: NZ_ABBZ01002975",640963011,"Beggiatoa sp. PS",0,702,0.41
640972773,"Beggiatoa sp. PS contig23698: NZ_ABBZ01002976",640963011,"Beggiatoa sp. PS",0,702,0.38
640972774,"Beggiatoa sp. PS contig25800: NZ_ABBZ01002977",640963011,"Beggiatoa sp. PS",0,701,0.44
640972775,"Beggiatoa sp. PS contig24381: NZ_ABBZ01002978",640963011,"Beggiatoa sp. PS",0,701,0.25
640972776,"Beggiatoa sp. PS contig22421: NZ_ABBZ01002979",640963011,"Beggiatoa sp. PS",0,701,0.4
640972777,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002980",640963011,"Beggiatoa sp. PS",1,700,0.38
640972778,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002981",640963011,"Beggiatoa sp. PS",1,699,0.37
640972779,"Beggiatoa sp. PS contig25486: NZ_ABBZ01002982",640963011,"Beggiatoa sp. PS",0,699,0.43
640972780,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002983",640963011,"Beggiatoa sp. PS",2,699,0.38
640972781,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002984",640963011,"Beggiatoa sp. PS",1,699,0.48
640972782,"Beggiatoa sp. PS contig00105: NZ_ABBZ01002985",640963011,"Beggiatoa sp. PS",0,699,0.36
640972783,"Beggiatoa sp. PS contig23988: NZ_ABBZ01002986",640963011,"Beggiatoa sp. PS",0,698,0.38
640972784,"Beggiatoa sp. PS contig23550: NZ_ABBZ01002987",640963011,"Beggiatoa sp. PS",0,698,0.37
640972785,"Beggiatoa sp. PS contig22962: NZ_ABBZ01002988",640963011,"Beggiatoa sp. PS",0,698,0.46
640972786,"Beggiatoa sp. PS contig21072: NZ_ABBZ01002989",640963011,"Beggiatoa sp. PS",0,698,0.41
640972787,"Beggiatoa sp. PS contig20559: NZ_ABBZ01002990",640963011,"Beggiatoa sp. PS",0,698,0.35
640972788,"Beggiatoa sp. PS contig02346: NZ_ABBZ01002991",640963011,"Beggiatoa sp. PS",0,698,0.48
640972789,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002992",640963011,"Beggiatoa sp. PS",1,697,0.39
640972790,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002993",640963011,"Beggiatoa sp. PS",1,697,0.38
640972791,"Beggiatoa sp. PS contig23077: NZ_ABBZ01002994",640963011,"Beggiatoa sp. PS",0,696,0.42
640972792,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002995",640963011,"Beggiatoa sp. PS",1,695,0.44
640972793,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002996",640963011,"Beggiatoa sp. PS",2,695,0.35
640972794,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01002997",640963011,"Beggiatoa sp. PS",1,695,0.35
640972795,"Beggiatoa sp. PS contig22687: NZ_ABBZ01002998",640963011,"Beggiatoa sp. PS",0,695,0.44
640972796,"Beggiatoa sp. PS contig21588: NZ_ABBZ01002999",640963011,"Beggiatoa sp. PS",0,695,0.36
640972797,"Beggiatoa sp. PS contig17192: NZ_ABBZ01003000",640963011,"Beggiatoa sp. PS",0,695,0.35
640972798,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003001",640963011,"Beggiatoa sp. PS",1,694,0.27
640972799,"Beggiatoa sp. PS contig23239: NZ_ABBZ01003002",640963011,"Beggiatoa sp. PS",0,694,0.39
640972800,"Beggiatoa sp. PS contig01487: NZ_ABBZ01003003",640963011,"Beggiatoa sp. PS",0,694,0.36
640972801,"Beggiatoa sp. PS contig01186: NZ_ABBZ01003004",640963011,"Beggiatoa sp. PS",0,694,0.38
640972802,"Beggiatoa sp. PS contig00585: NZ_ABBZ01003005",640963011,"Beggiatoa sp. PS",0,694,0.38
640972803,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003006",640963011,"Beggiatoa sp. PS",1,693,0.36
640972804,"Beggiatoa sp. PS contig21725: NZ_ABBZ01003007",640963011,"Beggiatoa sp. PS",0,693,0.37
640972805,"Beggiatoa sp. PS contig24508: NZ_ABBZ01003008",640963011,"Beggiatoa sp. PS",0,692,0.34
640972806,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003009",640963011,"Beggiatoa sp. PS",1,692,0.36
640972807,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003010",640963011,"Beggiatoa sp. PS",1,691,0.33
640972808,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003011",640963011,"Beggiatoa sp. PS",1,691,0.4
640972809,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003012",640963011,"Beggiatoa sp. PS",1,689,0.36
640972810,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003013",640963011,"Beggiatoa sp. PS",1,689,0.4
640972811,"Beggiatoa sp. PS contig21816: NZ_ABBZ01003014",640963011,"Beggiatoa sp. PS",0,689,0.37
640972812,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003015",640963011,"Beggiatoa sp. PS",1,689,0.45
640972813,"Beggiatoa sp. PS contig24360: NZ_ABBZ01003016",640963011,"Beggiatoa sp. PS",0,688,0.29
640972814,"Beggiatoa sp. PS contig02869: NZ_ABBZ01003017",640963011,"Beggiatoa sp. PS",0,688,0.47
640972815,"Beggiatoa sp. PS contig02083: NZ_ABBZ01003018",640963011,"Beggiatoa sp. PS",0,688,0.52
640972816,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003019",640963011,"Beggiatoa sp. PS",1,687,0.32
640972817,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003020",640963011,"Beggiatoa sp. PS",1,686,0.43
640972818,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003021",640963011,"Beggiatoa sp. PS",1,686,0.4
640972819,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003022",640963011,"Beggiatoa sp. PS",1,685,0.37
640972820,"Beggiatoa sp. PS contig22845: NZ_ABBZ01003023",640963011,"Beggiatoa sp. PS",0,685,0.39
640972821,"Beggiatoa sp. PS contig22293: NZ_ABBZ01003024",640963011,"Beggiatoa sp. PS",0,685,0.3
640972822,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003025",640963011,"Beggiatoa sp. PS",1,685,0.38
640972823,"Beggiatoa sp. PS contig21153: NZ_ABBZ01003026",640963011,"Beggiatoa sp. PS",0,685,0.44
640972824,"Beggiatoa sp. PS contig20805: NZ_ABBZ01003027",640963011,"Beggiatoa sp. PS",0,685,0.35
640972825,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003028",640963011,"Beggiatoa sp. PS",1,685,0.37
640972826,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003029",640963011,"Beggiatoa sp. PS",1,684,0.4
640972827,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003030",640963011,"Beggiatoa sp. PS",1,684,0.4
640972828,"Beggiatoa sp. PS contig21049: NZ_ABBZ01003031",640963011,"Beggiatoa sp. PS",0,683,0.37
640972829,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003032",640963011,"Beggiatoa sp. PS",1,682,0.38
640972830,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003033",640963011,"Beggiatoa sp. PS",1,682,0.36
640972831,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003034",640963011,"Beggiatoa sp. PS",1,681,0.35
640972832,"Beggiatoa sp. PS contig23979: NZ_ABBZ01003035",640963011,"Beggiatoa sp. PS",0,680,0.31
640972833,"Beggiatoa sp. PS contig03816: NZ_ABBZ01003036",640963011,"Beggiatoa sp. PS",0,680,0.33
640972834,"Beggiatoa sp. PS contig00790: NZ_ABBZ01003037",640963011,"Beggiatoa sp. PS",0,680,0.41
640972835,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003038",640963011,"Beggiatoa sp. PS",1,679,0.37
640972836,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003039",640963011,"Beggiatoa sp. PS",1,677,0.34
640972837,"Beggiatoa sp. PS contig13428: NZ_ABBZ01003040",640963011,"Beggiatoa sp. PS",0,677,0.36
640972838,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003041",640963011,"Beggiatoa sp. PS",1,677,0.39
640972839,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003042",640963011,"Beggiatoa sp. PS",1,676,0.42
640972840,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003043",640963011,"Beggiatoa sp. PS",1,676,0.42
640972841,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003044",640963011,"Beggiatoa sp. PS",1,676,0.31
640972842,"Beggiatoa sp. PS contig24897: NZ_ABBZ01003045",640963011,"Beggiatoa sp. PS",0,675,0.26
640972843,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003046",640963011,"Beggiatoa sp. PS",2,675,0.4
640972844,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003047",640963011,"Beggiatoa sp. PS",2,675,0.35
640972845,"Beggiatoa sp. PS contig04844: NZ_ABBZ01003048",640963011,"Beggiatoa sp. PS",0,675,0.38
640972846,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003049",640963011,"Beggiatoa sp. PS",1,673,0.36
640972847,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003050",640963011,"Beggiatoa sp. PS",1,673,0.33
640972848,"Beggiatoa sp. PS contig08659: NZ_ABBZ01003051",640963011,"Beggiatoa sp. PS",0,673,0.47
640972849,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003052",640963011,"Beggiatoa sp. PS",1,672,0.34
640972850,"Beggiatoa sp. PS contig22927: NZ_ABBZ01003053",640963011,"Beggiatoa sp. PS",0,672,0.39
640972851,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003054",640963011,"Beggiatoa sp. PS",1,671,0.37
640972852,"Beggiatoa sp. PS contig20940: NZ_ABBZ01003055",640963011,"Beggiatoa sp. PS",0,671,0.33
640972853,"Beggiatoa sp. PS contig20753: NZ_ABBZ01003056",640963011,"Beggiatoa sp. PS",0,671,0.35
640972854,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003057",640963011,"Beggiatoa sp. PS",1,671,0.36
640972855,"Beggiatoa sp. PS contig26079: NZ_ABBZ01003058",640963011,"Beggiatoa sp. PS",0,670,0.36
640972856,"Beggiatoa sp. PS contig22803: NZ_ABBZ01003059",640963011,"Beggiatoa sp. PS",0,670,0.39
640972857,"Beggiatoa sp. PS contig22056: NZ_ABBZ01003060",640963011,"Beggiatoa sp. PS",0,670,0.4
640972858,"Beggiatoa sp. PS contig20727: NZ_ABBZ01003061",640963011,"Beggiatoa sp. PS",0,670,0.37
640972859,"Beggiatoa sp. PS contig00459: NZ_ABBZ01003062",640963011,"Beggiatoa sp. PS",0,669,0.31
640972860,"Beggiatoa sp. PS contig22250: NZ_ABBZ01003063",640963011,"Beggiatoa sp. PS",0,667,0.3
640972861,"Beggiatoa sp. PS contig02922: NZ_ABBZ01003064",640963011,"Beggiatoa sp. PS",0,667,0.39
640972862,"Beggiatoa sp. PS contig24278: NZ_ABBZ01003065",640963011,"Beggiatoa sp. PS",0,666,0.36
640972863,"Beggiatoa sp. PS contig02804: NZ_ABBZ01003066",640963011,"Beggiatoa sp. PS",0,664,0.39
640972864,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003067",640963011,"Beggiatoa sp. PS",2,664,0.42
640972865,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003068",640963011,"Beggiatoa sp. PS",1,663,0.35
640972866,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003069",640963011,"Beggiatoa sp. PS",1,663,0.35
640972867,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003070",640963011,"Beggiatoa sp. PS",1,663,0.36
640972868,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003071",640963011,"Beggiatoa sp. PS",1,663,0.37
640972869,"Beggiatoa sp. PS contig00043: NZ_ABBZ01003072",640963011,"Beggiatoa sp. PS",0,662,0.42
640972870,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003073",640963011,"Beggiatoa sp. PS",1,661,0.36
640972871,"Beggiatoa sp. PS contig23666: NZ_ABBZ01003074",640963011,"Beggiatoa sp. PS",0,661,0.43
640972872,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003075",640963011,"Beggiatoa sp. PS",1,661,0.33
640972873,"Beggiatoa sp. PS contig21383: NZ_ABBZ01003076",640963011,"Beggiatoa sp. PS",0,661,0.29
640972874,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003077",640963011,"Beggiatoa sp. PS",1,661,0.39
640972875,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003078",640963011,"Beggiatoa sp. PS",1,661,0.39
640972876,"Beggiatoa sp. PS contig26115: NZ_ABBZ01003079",640963011,"Beggiatoa sp. PS",0,660,0.3
640972877,"Beggiatoa sp. PS contig21256: NZ_ABBZ01003080",640963011,"Beggiatoa sp. PS",0,660,0.34
640972878,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003081",640963011,"Beggiatoa sp. PS",1,659,0.37
640972879,"Beggiatoa sp. PS contig00708: NZ_ABBZ01003082",640963011,"Beggiatoa sp. PS",0,659,0.32
640972880,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003083",640963011,"Beggiatoa sp. PS",3,658,0.4
640972881,"Beggiatoa sp. PS contig26172: NZ_ABBZ01003084",640963011,"Beggiatoa sp. PS",0,657,0.4
640972882,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003085",640963011,"Beggiatoa sp. PS",1,657,0.41
640972883,"Beggiatoa sp. PS contig22394: NZ_ABBZ01003086",640963011,"Beggiatoa sp. PS",0,657,0.34
640972884,"Beggiatoa sp. PS contig22112: NZ_ABBZ01003087",640963011,"Beggiatoa sp. PS",0,657,0.38
640972885,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003088",640963011,"Beggiatoa sp. PS",2,657,0.34
640972886,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003089",640963011,"Beggiatoa sp. PS",2,657,0.39
640972887,"Beggiatoa sp. PS contig26021: NZ_ABBZ01003090",640963011,"Beggiatoa sp. PS",0,656,0.36
640972888,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003091",640963011,"Beggiatoa sp. PS",1,656,0.39
640972889,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003092",640963011,"Beggiatoa sp. PS",1,656,0.4
640972890,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003093",640963011,"Beggiatoa sp. PS",1,656,0.33
640972891,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003094",640963011,"Beggiatoa sp. PS",2,655,0.37
640972892,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003095",640963011,"Beggiatoa sp. PS",1,655,0.39
640972893,"Beggiatoa sp. PS contig22315: NZ_ABBZ01003096",640963011,"Beggiatoa sp. PS",0,655,0.34
640972894,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003097",640963011,"Beggiatoa sp. PS",1,655,0.34
640972895,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003098",640963011,"Beggiatoa sp. PS",2,655,0.38
640972896,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003099",640963011,"Beggiatoa sp. PS",2,655,0.4
640972897,"Beggiatoa sp. PS contig25314: NZ_ABBZ01003100",640963011,"Beggiatoa sp. PS",2,654,0.32
640972898,"Beggiatoa sp. PS contig21975: NZ_ABBZ01003101",640963011,"Beggiatoa sp. PS",0,654,0.39
640972899,"Beggiatoa sp. PS contig16313: NZ_ABBZ01003102",640963011,"Beggiatoa sp. PS",0,654,0.4
640972900,"Beggiatoa sp. PS contig24293: NZ_ABBZ01003103",640963011,"Beggiatoa sp. PS",0,653,0.36
640972901,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003104",640963011,"Beggiatoa sp. PS",1,653,0.41
640972902,"Beggiatoa sp. PS contig23540: NZ_ABBZ01003105",640963011,"Beggiatoa sp. PS",0,653,0.37
640972903,"Beggiatoa sp. PS contig22645: NZ_ABBZ01003106",640963011,"Beggiatoa sp. PS",0,653,0.36
640972904,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003107",640963011,"Beggiatoa sp. PS",1,653,0.39
640972905,"Beggiatoa sp. PS contig21576: NZ_ABBZ01003108",640963011,"Beggiatoa sp. PS",0,653,0.42
640972906,"Beggiatoa sp. PS contig23868: NZ_ABBZ01003109",640963011,"Beggiatoa sp. PS",0,652,0.32
640972907,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003110",640963011,"Beggiatoa sp. PS",1,652,0.43
640972908,"Beggiatoa sp. PS contig22192: NZ_ABBZ01003111",640963011,"Beggiatoa sp. PS",0,651,0.29
640972909,"Beggiatoa sp. PS contig21647: NZ_ABBZ01003112",640963011,"Beggiatoa sp. PS",0,651,0.44
640972910,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003113",640963011,"Beggiatoa sp. PS",1,651,0.39
640972911,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003114",640963011,"Beggiatoa sp. PS",1,650,0.41
640972912,"Beggiatoa sp. PS contig21057: NZ_ABBZ01003115",640963011,"Beggiatoa sp. PS",0,650,0.34
640972913,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003116",640963011,"Beggiatoa sp. PS",1,650,0.35
640972914,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003117",640963011,"Beggiatoa sp. PS",1,649,0.43
640972915,"Beggiatoa sp. PS contig23654: NZ_ABBZ01003118",640963011,"Beggiatoa sp. PS",0,649,0.34
640972916,"Beggiatoa sp. PS contig22073: NZ_ABBZ01003119",640963011,"Beggiatoa sp. PS",0,649,0.34
640972917,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003120",640963011,"Beggiatoa sp. PS",1,648,0.35
640972918,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003121",640963011,"Beggiatoa sp. PS",1,647,0.41
640972919,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003122",640963011,"Beggiatoa sp. PS",1,647,0.31
640972920,"Beggiatoa sp. PS contig21417: NZ_ABBZ01003123",640963011,"Beggiatoa sp. PS",0,647,0.37
640972921,"Beggiatoa sp. PS contig00832: NZ_ABBZ01003124",640963011,"Beggiatoa sp. PS",0,647,0.35
640972922,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003125",640963011,"Beggiatoa sp. PS",1,646,0.39
640972923,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003126",640963011,"Beggiatoa sp. PS",1,646,0.41
640972924,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003127",640963011,"Beggiatoa sp. PS",1,646,0.41
640972925,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003128",640963011,"Beggiatoa sp. PS",1,646,0.39
640972926,"Beggiatoa sp. PS contig24379: NZ_ABBZ01003129",640963011,"Beggiatoa sp. PS",0,645,0.37
640972927,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003130",640963011,"Beggiatoa sp. PS",1,645,0.37
640972928,"Beggiatoa sp. PS contig16009: NZ_ABBZ01003131",640963011,"Beggiatoa sp. PS",0,645,0.48
640972929,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003132",640963011,"Beggiatoa sp. PS",1,645,0.39
640972930,"Beggiatoa sp. PS contig22912: NZ_ABBZ01003133",640963011,"Beggiatoa sp. PS",0,644,0.39
640972931,"Beggiatoa sp. PS contig22377: NZ_ABBZ01003134",640963011,"Beggiatoa sp. PS",0,644,0.39
640972932,"Beggiatoa sp. PS contig21144: NZ_ABBZ01003135",640963011,"Beggiatoa sp. PS",0,644,0.38
640972933,"Beggiatoa sp. PS contig04281: NZ_ABBZ01003136",640963011,"Beggiatoa sp. PS",0,643,0.25
640972934,"Beggiatoa sp. PS contig23080: NZ_ABBZ01003137",640963011,"Beggiatoa sp. PS",0,643,0.43
640972935,"Beggiatoa sp. PS contig22001: NZ_ABBZ01003138",640963011,"Beggiatoa sp. PS",0,643,0.38
640972936,"Beggiatoa sp. PS contig00501: NZ_ABBZ01003139",640963011,"Beggiatoa sp. PS",0,642,0.33
640972937,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003140",640963011,"Beggiatoa sp. PS",1,641,0.25
640972938,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003141",640963011,"Beggiatoa sp. PS",1,641,0.31
640972939,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003142",640963011,"Beggiatoa sp. PS",1,641,0.34
640972940,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003143",640963011,"Beggiatoa sp. PS",1,640,0.36
640972941,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003144",640963011,"Beggiatoa sp. PS",1,640,0.36
640972942,"Beggiatoa sp. PS contig23601: NZ_ABBZ01003145",640963011,"Beggiatoa sp. PS",0,639,0.34
640972943,"Beggiatoa sp. PS contig23060: NZ_ABBZ01003146",640963011,"Beggiatoa sp. PS",0,639,0.41
640972944,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003147",640963011,"Beggiatoa sp. PS",1,639,0.35
640972945,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003148",640963011,"Beggiatoa sp. PS",1,639,0.42
640972946,"Beggiatoa sp. PS contig23640: NZ_ABBZ01003149",640963011,"Beggiatoa sp. PS",0,638,0.34
640972947,"Beggiatoa sp. PS contig23250: NZ_ABBZ01003150",640963011,"Beggiatoa sp. PS",0,638,0.37
640972948,"Beggiatoa sp. PS contig02403: NZ_ABBZ01003151",640963011,"Beggiatoa sp. PS",0,638,0.39
640972949,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003152",640963011,"Beggiatoa sp. PS",1,637,0.37
640972950,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003153",640963011,"Beggiatoa sp. PS",2,636,0.33
640972951,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003154",640963011,"Beggiatoa sp. PS",1,636,0.42
640972952,"Beggiatoa sp. PS contig22385: NZ_ABBZ01003155",640963011,"Beggiatoa sp. PS",0,636,0.44
640972953,"Beggiatoa sp. PS contig24113: NZ_ABBZ01003156",640963011,"Beggiatoa sp. PS",0,633,0.36
640972954,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003157",640963011,"Beggiatoa sp. PS",1,633,0.43
640972955,"Beggiatoa sp. PS contig22727: NZ_ABBZ01003158",640963011,"Beggiatoa sp. PS",0,633,0.39
640972956,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003159",640963011,"Beggiatoa sp. PS",1,633,0.37
640972957,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003160",640963011,"Beggiatoa sp. PS",1,633,0.31
640972958,"Beggiatoa sp. PS contig03016: NZ_ABBZ01003161",640963011,"Beggiatoa sp. PS",0,633,0.28
640972959,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003162",640963011,"Beggiatoa sp. PS",1,632,0.31
640972960,"Beggiatoa sp. PS, unfinished sequence: NZ_ABBZ01003163",640963011,"Beggiatoa sp. PS",1,631,0.34
